layout_id,store_id,aisle_id,aisle_name,shelf_id,slot_id,capacity_units,assigned_sku_id,facing_count
LAYOUT_0000050,STORE_001,AISLE_00050,Aisle 00050,SHELF_00050,SLOT_00050,40,SKU_0112,2
LAYOUT_0000051,STORE_001,AISLE_00051,Aisle 00051,SHELF_00051,SLOT_00051,18,SKU_0293,1
LAYOUT_0000052,STORE_001,AISLE_00052,Aisle 00052,SHELF_00052,SLOT_00052,17,SKU_0122,4
LAYOUT_0000053,STORE_001,AISLE_00053,Aisle 00053,SHELF_00053,SLOT_00053,25,SKU_0323,3
LAYOUT_0000054,STORE_001,AISLE_00054,Aisle 00054,SHELF_00054,SLOT_00054,22,SKU_0418,4
LAYOUT_0000055,STORE_001,AISLE_00055,Aisle 00055,SHELF_00055,SLOT_00055,38,SKU_0365,2
LAYOUT_0000056,STORE_001,AISLE_00056,Aisle 00056,SHELF_00056,SLOT_00056,32,SKU_0338,3
LAYOUT_0000057,STORE_001,AISLE_00057,Aisle 00057,SHELF_00057,SLOT_00057,34,SKU_0515,2
LAYOUT_0000058,STORE_001,AISLE_00058,Aisle 00058,SHELF_00058,SLOT_00058,24,SKU_0364,4
LAYOUT_0000059,STORE_001,AISLE_00059,Aisle 00059,SHELF_00059,SLOT_00059,41,SKU_0060,3
LAYOUT_0000060,STORE_001,AISLE_00060,Aisle 00060,SHELF_00060,SLOT_00060,12,SKU_0574,1
LAYOUT_0000061,STORE_001,AISLE_00061,Aisle 00061,SHELF_00061,SLOT_00061,34,SKU_0056,1
LAYOUT_0000062,STORE_001,AISLE_00062,Aisle 00062,SHELF_00062,SLOT_00062,32,SKU_0526,3
LAYOUT_0000063,STORE_001,AISLE_00063,Aisle 00063,SHELF_00063,SLOT_00063,17,SKU_0487,2
LAYOUT_0000064,STORE_001,AISLE_00064,Aisle 00064,SHELF_00064,SLOT_00064,16,SKU_0044,4
LAYOUT_0000065,STORE_001,AISLE_00065,Aisle 00065,SHELF_00065,SLOT_00065,24,SKU_0346,2
LAYOUT_0000066,STORE_001,AISLE_00066,Aisle 00066,SHELF_00066,SLOT_00066,14,SKU_0516,1
LAYOUT_0000067,STORE_001,AISLE_00067,Aisle 00067,SHELF_00067,SLOT_00067,16,SKU_0134,3
LAYOUT_0000068,STORE_001,AISLE_00068,Aisle 00068,SHELF_00068,SLOT_00068,20,SKU_0105,2
LAYOUT_0000069,STORE_001,AISLE_00069,Aisle 00069,SHELF_00069,SLOT_00069,34,SKU_0490,4
LAYOUT_0000070,STORE_001,AISLE_00070,Aisle 00070,SHELF_00070,SLOT_00070,38,SKU_0556,2
LAYOUT_0000071,STORE_001,AISLE_00071,Aisle 00071,SHELF_00071,SLOT_00071,41,SKU_0109,3
LAYOUT_0000072,STORE_001,AISLE_00072,Aisle 00072,SHELF_00072,SLOT_00072,14,SKU_0283,1
LAYOUT_0000073,STORE_001,AISLE_00073,Aisle 00073,SHELF_00073,SLOT_00073,31,SKU_0460,3
LAYOUT_0000074,STORE_001,AISLE_00074,Aisle 00074,SHELF_00074,SLOT_00074,32,SKU_0268,4
LAYOUT_0000075,STORE_001,AISLE_00075,Aisle 00075,SHELF_00075,SLOT_00075,32,SKU_0352,1
LAYOUT_0000076,STORE_001,AISLE_00076,Aisle 00076,SHELF_00076,SLOT_00076,39,SKU_0554,2
LAYOUT_0000077,STORE_001,AISLE_00077,Aisle 00077,SHELF_00077,SLOT_00077,40,SKU_0571,2
LAYOUT_0000078,STORE_001,AISLE_00078,Aisle 00078,SHELF_00078,SLOT_00078,25,SKU_0061,1
LAYOUT_0000079,STORE_001,AISLE_00079,Aisle 00079,SHELF_00079,SLOT_00079,17,SKU_0347,1
LAYOUT_0000080,STORE_001,AISLE_00080,Aisle 00080,SHELF_00080,SLOT_00080,28,SKU_0150,3
LAYOUT_0000081,STORE_001,AISLE_00081,Aisle 00081,SHELF_00081,SLOT_00081,25,SKU_0299,2
LAYOUT_0000082,STORE_001,AISLE_00082,Aisle 00082,SHELF_00082,SLOT_00082,21,SKU_0187,3
LAYOUT_0000083,STORE_001,AISLE_00083,Aisle 00083,SHELF_00083,SLOT_00083,42,SKU_0407,1
LAYOUT_0000084,STORE_001,AISLE_00084,Aisle 00084,SHELF_00084,SLOT_00084,35,SKU_0547,4
LAYOUT_0000085,STORE_001,AISLE_00085,Aisle 00085,SHELF_00085,SLOT_00085,33,SKU_0570,4
LAYOUT_0000086,STORE_001,AISLE_00086,Aisle 00086,SHELF_00086,SLOT_00086,6,SKU_0082,1
LAYOUT_0000087,STORE_001,AISLE_00087,Aisle 00087,SHELF_00087,SLOT_00087,23,SKU_0055,4
LAYOUT_0000088,STORE_001,AISLE_00088,Aisle 00088,SHELF_00088,SLOT_00088,41,SKU_0400,3
LAYOUT_0000089,STORE_001,AISLE_00089,Aisle 00089,SHELF_00089,SLOT_00089,34,SKU_0311,4
LAYOUT_0000090,STORE_001,AISLE_00090,Aisle 00090,SHELF_00090,SLOT_00090,19,SKU_0065,4
LAYOUT_0000091,STORE_001,AISLE_00091,Aisle 00091,SHELF_00091,SLOT_00091,16,SKU_0406,2
LAYOUT_0000092,STORE_001,AISLE_00092,Aisle 00092,SHELF_00092,SLOT_00092,38,SKU_0392,3
LAYOUT_0000093,STORE_001,AISLE_00093,Aisle 00093,SHELF_00093,SLOT_00093,34,SKU_0016,4
LAYOUT_0000094,STORE_001,AISLE_00094,Aisle 00094,SHELF_00094,SLOT_00094,37,SKU_0485,2
LAYOUT_0000095,STORE_001,AISLE_00095,Aisle 00095,SHELF_00095,SLOT_00095,22,SKU_0129,4
LAYOUT_0000096,STORE_001,AISLE_00096,Aisle 00096,SHELF_00096,SLOT_00096,7,SKU_0036,4
LAYOUT_0000097,STORE_001,AISLE_00097,Aisle 00097,SHELF_00097,SLOT_00097,33,SKU_0569,1
LAYOUT_0000098,STORE_001,AISLE_00098,Aisle 00098,SHELF_00098,SLOT_00098,34,SKU_0132,3
LAYOUT_0000099,STORE_001,AISLE_00099,Aisle 00099,SHELF_00099,SLOT_00099,26,SKU_0278,3
LAYOUT_0000100,STORE_001,AISLE_00100,Aisle 00100,SHELF_00100,SLOT_00100,18,SKU_0373,3
LAYOUT_0000101,STORE_001,AISLE_00101,Aisle 00101,SHELF_00101,SLOT_00101,26,SKU_0117,4
LAYOUT_0000102,STORE_001,AISLE_00102,Aisle 00102,SHELF_00102,SLOT_00102,40,SKU_0069,3
LAYOUT_0000103,STORE_001,AISLE_00103,Aisle 00103,SHELF_00103,SLOT_00103,45,SKU_0257,2
LAYOUT_0000104,STORE_001,AISLE_00104,Aisle 00104,SHELF_00104,SLOT_00104,47,SKU_0552,1
LAYOUT_0000105,STORE_001,AISLE_00105,Aisle 00105,SHELF_00105,SLOT_00105,13,SKU_0526,4
LAYOUT_0000106,STORE_001,AISLE_00106,Aisle 00106,SHELF_00106,SLOT_00106,14,SKU_0547,3
LAYOUT_0000107,STORE_001,AISLE_00107,Aisle 00107,SHELF_00107,SLOT_00107,12,SKU_0555,4
LAYOUT_0000108,STORE_001,AISLE_00108,Aisle 00108,SHELF_00108,SLOT_00108,12,SKU_0083,3
LAYOUT_0000109,STORE_001,AISLE_00109,Aisle 00109,SHELF_00109,SLOT_00109,10,SKU_0566,4
LAYOUT_0000110,STORE_001,AISLE_00110,Aisle 00110,SHELF_00110,SLOT_00110,34,SKU_0332,1
LAYOUT_0000111,STORE_001,AISLE_00111,Aisle 00111,SHELF_00111,SLOT_00111,11,SKU_0153,4
LAYOUT_0000112,STORE_001,AISLE_00112,Aisle 00112,SHELF_00112,SLOT_00112,25,SKU_0480,3
LAYOUT_0000113,STORE_001,AISLE_00113,Aisle 00113,SHELF_00113,SLOT_00113,23,SKU_0046,4
LAYOUT_0000114,STORE_001,AISLE_00114,Aisle 00114,SHELF_00114,SLOT_00114,37,SKU_0173,2
LAYOUT_0000115,STORE_001,AISLE_00115,Aisle 00115,SHELF_00115,SLOT_00115,10,SKU_0178,2
LAYOUT_0000116,STORE_001,AISLE_00116,Aisle 00116,SHELF_00116,SLOT_00116,46,SKU_0314,4
LAYOUT_0000117,STORE_001,AISLE_00117,Aisle 00117,SHELF_00117,SLOT_00117,15,SKU_0088,2
LAYOUT_0000118,STORE_001,AISLE_00118,Aisle 00118,SHELF_00118,SLOT_00118,26,SKU_0501,3
LAYOUT_0000119,STORE_001,AISLE_00119,Aisle 00119,SHELF_00119,SLOT_00119,8,SKU_0317,4
LAYOUT_0000120,STORE_001,AISLE_00120,Aisle 00120,SHELF_00120,SLOT_00120,42,SKU_0533,2
LAYOUT_0000121,STORE_001,AISLE_00121,Aisle 00121,SHELF_00121,SLOT_00121,30,SKU_0232,2
LAYOUT_0000122,STORE_001,AISLE_00122,Aisle 00122,SHELF_00122,SLOT_00122,39,SKU_0381,1
LAYOUT_0000123,STORE_001,AISLE_00123,Aisle 00123,SHELF_00123,SLOT_00123,17,SKU_0472,1
LAYOUT_0000124,STORE_001,AISLE_00124,Aisle 00124,SHELF_00124,SLOT_00124,39,SKU_0465,4
LAYOUT_0000125,STORE_001,AISLE_00125,Aisle 00125,SHELF_00125,SLOT_00125,30,SKU_0528,2
LAYOUT_0000126,STORE_001,AISLE_00126,Aisle 00126,SHELF_00126,SLOT_00126,30,SKU_0265,2
LAYOUT_0000127,STORE_001,AISLE_00127,Aisle 00127,SHELF_00127,SLOT_00127,46,SKU_0111,1
LAYOUT_0000128,STORE_001,AISLE_00128,Aisle 00128,SHELF_00128,SLOT_00128,20,SKU_0039,4
LAYOUT_0000129,STORE_001,AISLE_00129,Aisle 00129,SHELF_00129,SLOT_00129,31,SKU_0469,2
LAYOUT_0000130,STORE_001,AISLE_00130,Aisle 00130,SHELF_00130,SLOT_00130,9,SKU_0262,3
LAYOUT_0000131,STORE_001,AISLE_00131,Aisle 00131,SHELF_00131,SLOT_00131,36,SKU_0275,3
LAYOUT_0000132,STORE_001,AISLE_00132,Aisle 00132,SHELF_00132,SLOT_00132,30,SKU_0356,4
LAYOUT_0000133,STORE_001,AISLE_00133,Aisle 00133,SHELF_00133,SLOT_00133,25,SKU_0545,3
LAYOUT_0000134,STORE_001,AISLE_00134,Aisle 00134,SHELF_00134,SLOT_00134,14,SKU_0174,3
LAYOUT_0000135,STORE_001,AISLE_00135,Aisle 00135,SHELF_00135,SLOT_00135,39,SKU_0534,3
LAYOUT_0000136,STORE_001,AISLE_00136,Aisle 00136,SHELF_00136,SLOT_00136,17,SKU_0067,4
LAYOUT_0000137,STORE_001,AISLE_00137,Aisle 00137,SHELF_00137,SLOT_00137,13,SKU_0187,2
LAYOUT_0000138,STORE_001,AISLE_00138,Aisle 00138,SHELF_00138,SLOT_00138,37,SKU_0398,4
LAYOUT_0000139,STORE_001,AISLE_00139,Aisle 00139,SHELF_00139,SLOT_00139,28,SKU_0026,3
LAYOUT_0000140,STORE_001,AISLE_00140,Aisle 00140,SHELF_00140,SLOT_00140,13,SKU_0130,1
LAYOUT_0000141,STORE_001,AISLE_00141,Aisle 00141,SHELF_00141,SLOT_00141,11,SKU_0426,1
LAYOUT_0000142,STORE_001,AISLE_00142,Aisle 00142,SHELF_00142,SLOT_00142,28,SKU_0522,1
LAYOUT_0000143,STORE_001,AISLE_00143,Aisle 00143,SHELF_00143,SLOT_00143,10,SKU_0263,4
LAYOUT_0000144,STORE_001,AISLE_00144,Aisle 00144,SHELF_00144,SLOT_00144,26,SKU_0470,1
LAYOUT_0000145,STORE_001,AISLE_00145,Aisle 00145,SHELF_00145,SLOT_00145,12,SKU_0299,4
LAYOUT_0000146,STORE_001,AISLE_00146,Aisle 00146,SHELF_00146,SLOT_00146,44,SKU_0112,2
LAYOUT_0000147,STORE_001,AISLE_00147,Aisle 00147,SHELF_00147,SLOT_00147,42,SKU_0357,1
LAYOUT_0000148,STORE_001,AISLE_00148,Aisle 00148,SHELF_00148,SLOT_00148,14,SKU_0372,1
LAYOUT_0000149,STORE_001,AISLE_00149,Aisle 00149,SHELF_00149,SLOT_00149,19,SKU_0237,1
LAYOUT_0000150,STORE_001,AISLE_00150,Aisle 00150,SHELF_00150,SLOT_00150,39,SKU_0095,3
LAYOUT_0000151,STORE_001,AISLE_00151,Aisle 00151,SHELF_00151,SLOT_00151,22,SKU_0217,2
LAYOUT_0000152,STORE_001,AISLE_00152,Aisle 00152,SHELF_00152,SLOT_00152,10,SKU_0531,1
LAYOUT_0000153,STORE_001,AISLE_00153,Aisle 00153,SHELF_00153,SLOT_00153,9,SKU_0431,2
LAYOUT_0000154,STORE_001,AISLE_00154,Aisle 00154,SHELF_00154,SLOT_00154,12,SKU_0448,2
LAYOUT_0000155,STORE_001,AISLE_00155,Aisle 00155,SHELF_00155,SLOT_00155,18,SKU_0113,2
LAYOUT_0000156,STORE_001,AISLE_00156,Aisle 00156,SHELF_00156,SLOT_00156,27,SKU_0553,4
LAYOUT_0000157,STORE_001,AISLE_00157,Aisle 00157,SHELF_00157,SLOT_00157,44,SKU_0065,3
LAYOUT_0000158,STORE_001,AISLE_00158,Aisle 00158,SHELF_00158,SLOT_00158,45,SKU_0439,1
LAYOUT_0000159,STORE_001,AISLE_00159,Aisle 00159,SHELF_00159,SLOT_00159,23,SKU_0141,4
LAYOUT_0000160,STORE_001,AISLE_00160,Aisle 00160,SHELF_00160,SLOT_00160,25,SKU_0140,2
LAYOUT_0000161,STORE_001,AISLE_00161,Aisle 00161,SHELF_00161,SLOT_00161,13,SKU_0038,4
LAYOUT_0000162,STORE_001,AISLE_00162,Aisle 00162,SHELF_00162,SLOT_00162,12,SKU_0329,3
LAYOUT_0000163,STORE_001,AISLE_00163,Aisle 00163,SHELF_00163,SLOT_00163,23,SKU_0405,2
LAYOUT_0000164,STORE_001,AISLE_00164,Aisle 00164,SHELF_00164,SLOT_00164,40,SKU_0384,1
LAYOUT_0000165,STORE_001,AISLE_00165,Aisle 00165,SHELF_00165,SLOT_00165,43,SKU_0157,4
LAYOUT_0000166,STORE_001,AISLE_00166,Aisle 00166,SHELF_00166,SLOT_00166,13,SKU_0024,4
LAYOUT_0000167,STORE_001,AISLE_00167,Aisle 00167,SHELF_00167,SLOT_00167,26,SKU_0029,1
LAYOUT_0000168,STORE_001,AISLE_00168,Aisle 00168,SHELF_00168,SLOT_00168,44,SKU_0231,2
LAYOUT_0000169,STORE_001,AISLE_00169,Aisle 00169,SHELF_00169,SLOT_00169,15,SKU_0216,2
LAYOUT_0000170,STORE_001,AISLE_00170,Aisle 00170,SHELF_00170,SLOT_00170,24,SKU_0022,3
LAYOUT_0000171,STORE_001,AISLE_00171,Aisle 00171,SHELF_00171,SLOT_00171,9,SKU_0257,2
LAYOUT_0000172,STORE_001,AISLE_00172,Aisle 00172,SHELF_00172,SLOT_00172,22,SKU_0129,3
LAYOUT_0000173,STORE_001,AISLE_00173,Aisle 00173,SHELF_00173,SLOT_00173,17,SKU_0515,1
LAYOUT_0000174,STORE_001,AISLE_00174,Aisle 00174,SHELF_00174,SLOT_00174,15,SKU_0230,1
LAYOUT_0000175,STORE_001,AISLE_00175,Aisle 00175,SHELF_00175,SLOT_00175,18,SKU_0204,3
LAYOUT_0000176,STORE_001,AISLE_00176,Aisle 00176,SHELF_00176,SLOT_00176,30,SKU_0495,1
LAYOUT_0000177,STORE_001,AISLE_00177,Aisle 00177,SHELF_00177,SLOT_00177,36,SKU_0024,2
LAYOUT_0000178,STORE_001,AISLE_00178,Aisle 00178,SHELF_00178,SLOT_00178,18,SKU_0245,2
LAYOUT_0000179,STORE_001,AISLE_00179,Aisle 00179,SHELF_00179,SLOT_00179,12,SKU_0308,4
LAYOUT_0000180,STORE_001,AISLE_00180,Aisle 00180,SHELF_00180,SLOT_00180,42,SKU_0075,4
LAYOUT_0000181,STORE_001,AISLE_00181,Aisle 00181,SHELF_00181,SLOT_00181,31,SKU_0415,1
LAYOUT_0000182,STORE_001,AISLE_00182,Aisle 00182,SHELF_00182,SLOT_00182,44,SKU_0477,1
LAYOUT_0000183,STORE_001,AISLE_00183,Aisle 00183,SHELF_00183,SLOT_00183,18,SKU_0427,1
LAYOUT_0000184,STORE_001,AISLE_00184,Aisle 00184,SHELF_00184,SLOT_00184,19,SKU_0222,4
LAYOUT_0000185,STORE_001,AISLE_00185,Aisle 00185,SHELF_00185,SLOT_00185,9,SKU_0013,3
LAYOUT_0000186,STORE_001,AISLE_00186,Aisle 00186,SHELF_00186,SLOT_00186,21,SKU_0003,2
LAYOUT_0000187,STORE_001,AISLE_00187,Aisle 00187,SHELF_00187,SLOT_00187,15,SKU_0559,4
LAYOUT_0000188,STORE_001,AISLE_00188,Aisle 00188,SHELF_00188,SLOT_00188,11,SKU_0246,3
LAYOUT_0000189,STORE_001,AISLE_00189,Aisle 00189,SHELF_00189,SLOT_00189,36,SKU_0414,2
LAYOUT_0000190,STORE_001,AISLE_00190,Aisle 00190,SHELF_00190,SLOT_00190,14,SKU_0330,1
LAYOUT_0000191,STORE_001,AISLE_00191,Aisle 00191,SHELF_00191,SLOT_00191,33,SKU_0566,2
LAYOUT_0000192,STORE_001,AISLE_00192,Aisle 00192,SHELF_00192,SLOT_00192,9,SKU_0162,3
LAYOUT_0000193,STORE_001,AISLE_00193,Aisle 00193,SHELF_00193,SLOT_00193,47,SKU_0216,3
LAYOUT_0000194,STORE_001,AISLE_00194,Aisle 00194,SHELF_00194,SLOT_00194,9,SKU_0168,3
LAYOUT_0000195,STORE_001,AISLE_00195,Aisle 00195,SHELF_00195,SLOT_00195,13,SKU_0331,1
LAYOUT_0000196,STORE_001,AISLE_00196,Aisle 00196,SHELF_00196,SLOT_00196,24,SKU_0117,3
LAYOUT_0000197,STORE_001,AISLE_00197,Aisle 00197,SHELF_00197,SLOT_00197,11,SKU_0373,3
LAYOUT_0000198,STORE_001,AISLE_00198,Aisle 00198,SHELF_00198,SLOT_00198,36,SKU_0319,1
LAYOUT_0000199,STORE_001,AISLE_00199,Aisle 00199,SHELF_00199,SLOT_00199,12,SKU_0305,2
LAYOUT_0000200,STORE_001,AISLE_00200,Aisle 00200,SHELF_00200,SLOT_00200,8,SKU_0083,2
LAYOUT_0000201,STORE_001,AISLE_00201,Aisle 00201,SHELF_00201,SLOT_00201,24,SKU_0332,1
LAYOUT_0000202,STORE_001,AISLE_00202,Aisle 00202,SHELF_00202,SLOT_00202,30,SKU_0367,3
LAYOUT_0000203,STORE_001,AISLE_00203,Aisle 00203,SHELF_00203,SLOT_00203,11,SKU_0437,1
LAYOUT_0000204,STORE_001,AISLE_00204,Aisle 00204,SHELF_00204,SLOT_00204,17,SKU_0510,4
LAYOUT_0000205,STORE_001,AISLE_00205,Aisle 00205,SHELF_00205,SLOT_00205,13,SKU_0194,4
LAYOUT_0000206,STORE_001,AISLE_00206,Aisle 00206,SHELF_00206,SLOT_00206,41,SKU_0221,4
LAYOUT_0000207,STORE_001,AISLE_00207,Aisle 00207,SHELF_00207,SLOT_00207,39,SKU_0384,2
LAYOUT_0000208,STORE_001,AISLE_00208,Aisle 00208,SHELF_00208,SLOT_00208,10,SKU_0145,4
LAYOUT_0000209,STORE_001,AISLE_00209,Aisle 00209,SHELF_00209,SLOT_00209,17,SKU_0313,1
LAYOUT_0000210,STORE_001,AISLE_00210,Aisle 00210,SHELF_00210,SLOT_00210,23,SKU_0085,4
LAYOUT_0000211,STORE_001,AISLE_00211,Aisle 00211,SHELF_00211,SLOT_00211,27,SKU_0190,3
LAYOUT_0000212,STORE_001,AISLE_00212,Aisle 00212,SHELF_00212,SLOT_00212,27,SKU_0303,1
LAYOUT_0000213,STORE_001,AISLE_00213,Aisle 00213,SHELF_00213,SLOT_00213,19,SKU_0339,1
LAYOUT_0000214,STORE_001,AISLE_00214,Aisle 00214,SHELF_00214,SLOT_00214,26,SKU_0244,1
LAYOUT_0000215,STORE_001,AISLE_00215,Aisle 00215,SHELF_00215,SLOT_00215,38,SKU_0548,3
LAYOUT_0000216,STORE_001,AISLE_00216,Aisle 00216,SHELF_00216,SLOT_00216,43,SKU_0112,4
LAYOUT_0000217,STORE_001,AISLE_00217,Aisle 00217,SHELF_00217,SLOT_00217,26,SKU_0400,2
LAYOUT_0000218,STORE_001,AISLE_00218,Aisle 00218,SHELF_00218,SLOT_00218,32,SKU_0444,1
LAYOUT_0000219,STORE_001,AISLE_00219,Aisle 00219,SHELF_00219,SLOT_00219,7,SKU_0210,1
LAYOUT_0000220,STORE_001,AISLE_00220,Aisle 00220,SHELF_00220,SLOT_00220,15,SKU_0252,4
LAYOUT_0000221,STORE_001,AISLE_00221,Aisle 00221,SHELF_00221,SLOT_00221,6,SKU_0241,3
LAYOUT_0000222,STORE_001,AISLE_00222,Aisle 00222,SHELF_00222,SLOT_00222,24,SKU_0475,3
LAYOUT_0000223,STORE_001,AISLE_00223,Aisle 00223,SHELF_00223,SLOT_00223,12,SKU_0190,3
LAYOUT_0000224,STORE_001,AISLE_00224,Aisle 00224,SHELF_00224,SLOT_00224,7,SKU_0566,1
LAYOUT_0000225,STORE_001,AISLE_00225,Aisle 00225,SHELF_00225,SLOT_00225,32,SKU_0533,1
LAYOUT_0000226,STORE_001,AISLE_00226,Aisle 00226,SHELF_00226,SLOT_00226,23,SKU_0070,2
LAYOUT_0000227,STORE_001,AISLE_00227,Aisle 00227,SHELF_00227,SLOT_00227,45,SKU_0154,2
LAYOUT_0000228,STORE_001,AISLE_00228,Aisle 00228,SHELF_00228,SLOT_00228,7,SKU_0331,4
LAYOUT_0000229,STORE_001,AISLE_00229,Aisle 00229,SHELF_00229,SLOT_00229,20,SKU_0356,3
LAYOUT_0000230,STORE_001,AISLE_00230,Aisle 00230,SHELF_00230,SLOT_00230,20,SKU_0039,2
LAYOUT_0000231,STORE_001,AISLE_00231,Aisle 00231,SHELF_00231,SLOT_00231,25,SKU_0128,3
