stockout_id,store_id,sku_id,stockout_date,restock_date,duration_days,estimated_lost_units,estimated_lost_revenue,root_cause
SO_0001664,STORE_002,SKU_0368,2024-01-16,2024-01-22,6,37,1140.71,Manual error
SO_0001768,STORE_002,SKU_0466,2024-01-16,2024-01-26,10,233,3313.26,Supplier delay
SO_0002135,STORE_003,SKU_0056,2024-01-16,2024-01-25,9,158,5454.16,Demand spike
SO_0002183,STORE_003,SKU_0181,2024-01-16,2024-01-18,2,40,598.4,Demand spike
SO_0002305,STORE_003,SKU_0231,2024-01-16,2024-01-18,2,17,206.04,Forecast miss
SO_0002629,STORE_003,SKU_0345,2024-01-16,2024-01-22,6,154,5614.84,Supplier delay
SO_0002783,STORE_003,SKU_0403,2024-01-16,2024-01-19,3,30,915.9,Forecast miss
SO_0002856,STORE_003,SKU_0455,2024-01-16,2024-01-20,4,23,859.05,Supplier delay
SO_0002888,STORE_003,SKU_0474,2024-01-16,2024-01-20,4,63,1455.93,Shrinkage
SO_0003044,STORE_003,SKU_0550,2024-01-16,2024-01-19,3,15,319.95,Manual error
SO_0003138,STORE_004,SKU_0087,2024-01-16,2024-01-27,11,136,4096.32,Manual error
SO_0003328,STORE_004,SKU_0228,2024-01-16,2024-03-12,56,657,19828.26,Manual error
SO_0003410,STORE_004,SKU_0292,2024-01-16,2024-01-22,6,75,3648.75,Demand spike
SO_0003446,STORE_004,SKU_0315,2024-01-16,2024-01-19,3,37,1296.85,Demand spike
SO_0004265,STORE_006,SKU_0087,2024-01-16,2024-01-20,4,97,2921.64,Manual error
SO_0004459,STORE_006,SKU_0101,2024-01-16,2024-01-26,10,176,1013.76,Supplier delay
SO_0004718,STORE_006,SKU_0384,2024-01-16,2024-01-22,6,89,4043.27,Shrinkage
SO_0005279,STORE_007,SKU_0146,2024-01-16,,715,6720,147974.4,Ongoing
SO_0005504,STORE_007,SKU_0279,2024-01-16,2024-01-22,6,72,2177.28,Demand spike
SO_0005626,STORE_007,SKU_0345,2024-01-16,2024-01-23,7,159,5797.14,Forecast miss
SO_0005937,STORE_007,SKU_0424,2024-01-16,2024-01-22,6,71,2860.59,Shrinkage
SO_0006838,STORE_009,SKU_0104,2024-01-16,2024-01-27,11,152,4702.88,Forecast miss
SO_0006965,STORE_009,SKU_0255,2024-01-16,2024-01-24,8,64,1872.64,Demand spike
SO_0006992,STORE_009,SKU_0274,2024-01-16,2024-01-31,15,145,4951.75,Shrinkage
SO_0007111,STORE_009,SKU_0329,2024-01-16,2024-01-17,1,3,55.11,Demand spike
SO_0007235,STORE_009,SKU_0518,2024-01-16,2024-01-26,10,125,935.0,Supplier delay
SO_0007409,STORE_010,SKU_0228,2024-01-16,2024-01-18,2,6,181.08,Supplier delay
SO_0007688,STORE_010,SKU_0417,2024-01-16,2024-01-19,3,11,118.8,Forecast miss
SO_0007821,STORE_010,SKU_0478,2024-01-16,2024-01-23,7,30,761.7,Manual error
SO_0000062,STORE_001,SKU_0107,2024-01-17,2024-01-18,1,11,543.4,Forecast miss
SO_0000119,STORE_001,SKU_0135,2024-01-17,2024-01-18,1,12,393.96,Supplier delay
SO_0000391,STORE_001,SKU_0291,2024-01-17,2024-01-19,2,8,331.28,Demand spike
SO_0000440,STORE_001,SKU_0322,2024-01-17,2024-01-19,2,27,585.63,Demand spike
SO_0000511,STORE_001,SKU_0365,2024-01-17,2024-01-27,10,192,8150.4,Supplier delay
SO_0001137,STORE_002,SKU_0032,2024-01-17,2024-01-19,2,33,987.03,Supplier delay
SO_0001258,STORE_002,SKU_0063,2024-01-17,2024-01-23,6,126,6215.58,Manual error
SO_0001551,STORE_002,SKU_0298,2024-01-17,2024-01-23,6,124,4627.68,Forecast miss
SO_0001660,STORE_002,SKU_0355,2024-01-17,2024-01-24,7,70,625.1,Shrinkage
SO_0001790,STORE_002,SKU_0468,2024-01-17,2024-01-27,10,221,9096.36,Forecast miss
SO_0001877,STORE_002,SKU_0541,2024-01-17,2024-01-18,1,21,906.15,Demand spike
SO_0001941,STORE_002,SKU_0564,2024-01-17,2024-01-20,3,26,1126.32,Manual error
SO_0002034,STORE_003,SKU_0008,2024-01-17,2024-01-21,4,59,1387.09,Forecast miss
SO_0002080,STORE_003,SKU_0018,2024-01-17,2024-01-22,5,50,1719.0,Demand spike
SO_0002455,STORE_003,SKU_0282,2024-01-17,2024-01-22,5,122,2559.56,Forecast miss
SO_0002509,STORE_003,SKU_0310,2024-01-17,2024-01-18,1,11,451.77,Supplier delay
SO_0002575,STORE_003,SKU_0337,2024-01-17,2024-01-28,11,229,4967.01,Forecast miss
SO_0002968,STORE_003,SKU_0535,2024-01-17,2024-01-18,1,7,331.1,Forecast miss
SO_0002998,STORE_003,SKU_0547,2024-01-17,2024-01-19,2,9,272.61,Shrinkage
SO_0003073,STORE_003,SKU_0556,2024-01-17,2024-01-18,1,8,172.96,Manual error
SO_0003192,STORE_004,SKU_0130,2024-01-17,2024-01-22,5,89,3975.63,Shrinkage
SO_0003485,STORE_004,SKU_0332,2024-01-17,2024-01-20,3,51,1251.03,Demand spike
SO_0003696,STORE_004,SKU_0533,2024-01-17,2024-01-24,7,145,160.95,Supplier delay
SO_0003727,STORE_004,SKU_0554,2024-01-17,2024-01-26,9,166,1739.68,Supplier delay
SO_0003870,STORE_005,SKU_0256,2024-01-17,2024-01-20,3,22,211.42,Manual error
SO_0004030,STORE_006,SKU_0031,2024-01-17,2024-01-20,3,10,472.9,Shrinkage
SO_0004839,STORE_006,SKU_0447,2024-01-17,2024-01-18,1,1,24.43,Supplier delay
SO_0005773,STORE_007,SKU_0364,2024-01-17,2024-01-18,1,3,141.36,Manual error
SO_0006106,STORE_007,SKU_0519,2024-01-17,2024-01-19,2,19,480.32,Shrinkage
SO_0006253,STORE_007,SKU_0552,2024-01-17,2024-01-19,2,19,168.34,Manual error
SO_0006642,STORE_008,SKU_0355,2024-01-17,2024-01-24,7,73,651.89,Demand spike
SO_0006800,STORE_009,SKU_0033,2024-01-17,2024-01-27,10,97,4070.12,Shrinkage
SO_0007027,STORE_009,SKU_0285,2024-01-17,2024-01-18,1,13,267.8,Supplier delay
SO_0000167,STORE_001,SKU_0197,2024-01-18,2024-01-25,7,143,4272.84,Demand spike
SO_0000343,STORE_001,SKU_0279,2024-01-18,2024-01-21,3,37,1118.88,Demand spike
SO_0002552,STORE_003,SKU_0330,2024-01-18,2024-01-31,13,198,1910.7,Shrinkage
SO_0002809,STORE_003,SKU_0431,2024-01-18,2024-01-28,10,185,9183.4,Forecast miss
SO_0003667,STORE_004,SKU_0513,2024-01-18,2024-01-21,3,52,1031.16,Demand spike
SO_0004987,STORE_006,SKU_0564,2024-01-18,2024-01-29,11,186,8057.52,Shrinkage
SO_0007081,STORE_009,SKU_0322,2024-01-18,2024-01-26,8,65,1409.85,Manual error
SO_0007160,STORE_009,SKU_0433,2024-01-18,2024-01-20,2,11,262.57,Supplier delay
SO_0007331,STORE_009,SKU_0560,2024-01-18,2024-01-22,4,49,1007.93,Demand spike
SO_0001438,STORE_002,SKU_0207,2024-01-19,2024-01-21,2,15,163.65,Forecast miss
SO_0001576,STORE_002,SKU_0300,2024-01-19,2024-01-20,1,8,137.36,Supplier delay
SO_0002157,STORE_003,SKU_0140,2024-01-19,2024-01-25,6,75,1502.25,Forecast miss
SO_0004343,STORE_006,SKU_0088,2024-01-19,2024-01-24,5,46,2156.02,Supplier delay
SO_0005395,STORE_007,SKU_0240,2024-01-19,2024-01-20,1,2,87.86,Manual error
SO_0006288,STORE_008,SKU_0013,2024-01-19,2024-01-27,8,33,241.89,Demand spike
SO_0006359,STORE_008,SKU_0146,2024-01-19,2024-01-30,11,43,946.86,Forecast miss
SO_0006877,STORE_009,SKU_0196,2024-01-19,2024-01-20,1,13,590.59,Forecast miss
SO_0006493,STORE_008,SKU_0174,2024-01-20,2024-01-21,1,1,42.77,Shrinkage
SO_0007410,STORE_010,SKU_0228,2024-01-20,2024-01-21,1,3,90.54,Manual error
SO_0007689,STORE_010,SKU_0417,2024-01-20,2024-01-22,2,0,0.0,Manual error
SO_0004584,STORE_006,SKU_0270,2024-01-22,2024-01-23,1,15,689.55,Supplier delay
SO_0000203,STORE_001,SKU_0213,2024-01-23,2024-01-24,1,12,231.0,Forecast miss
SO_0001439,STORE_002,SKU_0207,2024-01-23,2024-01-26,3,8,87.28,Shrinkage
SO_0002347,STORE_003,SKU_0241,2024-01-24,2024-01-25,1,7,251.37,Supplier delay
SO_0005774,STORE_007,SKU_0364,2024-01-24,2024-01-25,1,0,0.0,Shrinkage
SO_0000813,STORE_001,SKU_0518,2024-01-25,2024-01-26,1,0,0.0,Supplier delay
SO_0001661,STORE_002,SKU_0355,2024-01-25,2024-07-01,158,1684,15038.12,Demand spike
SO_0003230,STORE_004,SKU_0207,2024-01-26,2024-01-28,2,16,174.56,Forecast miss
SO_0005627,STORE_007,SKU_0345,2024-01-26,2024-01-28,2,16,583.36,Demand spike
SO_0006209,STORE_007,SKU_0542,2024-01-26,2024-01-28,2,15,391.2,Shrinkage
SO_0006643,STORE_008,SKU_0355,2024-01-26,2024-01-27,1,1,8.93,Shrinkage
SO_0007411,STORE_010,SKU_0228,2024-01-26,2024-01-29,3,16,482.88,Forecast miss
SO_0007690,STORE_010,SKU_0417,2024-01-26,2024-01-28,2,10,108.0,Manual error
SO_0000120,STORE_001,SKU_0135,2024-01-27,2024-01-28,1,8,262.64,Supplier delay
SO_0000628,STORE_001,SKU_0434,2024-01-27,2024-01-28,1,3,9.3,Manual error
SO_0000814,STORE_001,SKU_0518,2024-01-27,2024-01-28,1,2,14.96,Manual error
SO_0001440,STORE_002,SKU_0207,2024-01-27,2024-01-30,3,78,850.98,Forecast miss
SO_0003372,STORE_004,SKU_0290,2024-01-27,2024-01-30,3,16,431.04,Demand spike
SO_0003728,STORE_004,SKU_0554,2024-01-27,2024-01-28,1,5,52.4,Supplier delay
SO_0004266,STORE_006,SKU_0087,2024-01-27,2024-01-28,1,2,60.24,Forecast miss
SO_0004344,STORE_006,SKU_0088,2024-01-27,2024-01-28,1,5,234.35,Supplier delay
SO_0005308,STORE_007,SKU_0189,2024-01-27,2024-01-29,2,31,975.57,Manual error
SO_0005775,STORE_007,SKU_0364,2024-01-27,2024-01-28,1,2,94.24,Supplier delay
SO_0001138,STORE_002,SKU_0032,2024-01-28,2024-01-30,2,26,777.66,Forecast miss
SO_0001339,STORE_002,SKU_0133,2024-01-28,2024-02-02,5,35,1043.0,Supplier delay
SO_0001878,STORE_002,SKU_0541,2024-01-28,2024-02-02,5,94,4056.1,Forecast miss
SO_0004080,STORE_006,SKU_0052,2024-01-28,2024-01-30,2,19,267.9,Forecast miss
SO_0006401,STORE_008,SKU_0153,2024-01-28,2024-01-29,1,4,95.8,Forecast miss
SO_0000815,STORE_001,SKU_0518,2024-01-29,2024-01-30,1,1,7.48,Supplier delay
SO_0004585,STORE_006,SKU_0270,2024-01-29,2024-01-31,2,26,1195.22,Demand spike
SO_0006210,STORE_007,SKU_0542,2024-01-29,2024-02-01,3,3,78.24,Manual error
SO_0002266,STORE_003,SKU_0217,2024-01-30,2024-02-03,4,47,1492.72,Shrinkage
SO_0002306,STORE_003,SKU_0231,2024-01-30,2024-02-05,6,200,2424.0,Manual error
SO_0004151,STORE_006,SKU_0071,2024-01-30,2024-01-31,1,4,83.36,Manual error
SO_0005899,STORE_007,SKU_0420,2024-01-30,2024-02-03,4,48,611.04,Forecast miss
SO_0007028,STORE_009,SKU_0285,2024-01-30,2024-01-31,1,9,185.4,Manual error
SO_0007654,STORE_010,SKU_0393,2024-01-30,2024-02-01,2,9,412.02,Manual error
SO_0001441,STORE_002,SKU_0207,2024-01-31,2024-02-04,4,31,338.21,Shrinkage
SO_0004962,STORE_006,SKU_0538,2024-01-31,2024-02-05,5,117,3467.88,Forecast miss
SO_0004988,STORE_006,SKU_0564,2024-01-31,2024-02-01,1,8,346.56,Shrinkage
SO_0005734,STORE_007,SKU_0358,2024-01-31,2024-02-03,3,53,1628.16,Supplier delay
SO_0006360,STORE_008,SKU_0146,2024-01-31,2024-02-02,2,9,198.18,Manual error
SO_0007124,STORE_009,SKU_0348,2024-01-31,2024-02-02,2,13,207.35,Forecast miss
SO_0003583,STORE_004,SKU_0499,2024-02-01,2024-02-04,3,23,501.4,Supplier delay
SO_0005505,STORE_007,SKU_0279,2024-02-01,2024-02-05,4,93,2812.32,Forecast miss
SO_0002081,STORE_003,SKU_0018,2024-02-02,2024-02-03,1,4,137.52,Manual error
SO_0003231,STORE_004,SKU_0207,2024-02-02,2024-02-06,4,7,76.37,Manual error
SO_0004152,STORE_006,SKU_0071,2024-02-02,2024-02-05,3,12,250.08,Forecast miss
SO_0005181,STORE_007,SKU_0067,2024-02-02,2024-02-05,3,45,1946.7,Shrinkage
SO_0005776,STORE_007,SKU_0364,2024-02-02,2024-02-03,1,3,141.36,Forecast miss
SO_0006211,STORE_007,SKU_0542,2024-02-02,2024-02-12,10,163,4251.04,Supplier delay
SO_0007691,STORE_010,SKU_0417,2024-02-02,2024-02-05,3,21,226.8,Demand spike
SO_0001577,STORE_002,SKU_0300,2024-02-03,2024-02-04,1,6,103.02,Manual error
SO_0005396,STORE_007,SKU_0240,2024-02-03,2024-02-10,7,140,6150.2,Demand spike
SO_0005991,STORE_007,SKU_0468,2024-02-03,2024-02-04,1,1,41.16,Manual error
SO_0006254,STORE_007,SKU_0552,2024-02-03,2024-02-07,4,51,451.86,Demand spike
SO_0000204,STORE_001,SKU_0213,2024-02-04,2024-02-05,1,9,173.25,Manual error
SO_0000322,STORE_001,SKU_0260,2024-02-04,2024-02-06,2,37,770.34,Demand spike
SO_0000344,STORE_001,SKU_0279,2024-02-04,2024-02-10,6,65,1965.6,Manual error
SO_0000441,STORE_001,SKU_0322,2024-02-04,2024-02-11,7,114,2472.66,Shrinkage
SO_0001195,STORE_002,SKU_0038,2024-02-04,2024-02-10,6,126,6265.98,Supplier delay
SO_0001942,STORE_002,SKU_0564,2024-02-04,2024-02-06,2,22,953.04,Supplier delay
SO_0002927,STORE_003,SKU_0517,2024-02-04,2024-02-09,5,62,2538.9,Supplier delay
SO_0003486,STORE_004,SKU_0332,2024-02-04,2024-02-07,3,38,932.14,Shrinkage
SO_0004267,STORE_006,SKU_0087,2024-02-04,2024-02-09,5,102,3072.24,Manual error
SO_0004345,STORE_006,SKU_0088,2024-02-04,2024-02-05,1,0,0.0,Supplier delay
SO_0006361,STORE_008,SKU_0146,2024-02-04,2024-02-12,8,24,528.48,Demand spike
SO_0007161,STORE_009,SKU_0433,2024-02-04,2024-02-07,3,26,620.62,Manual error
SO_0007355,STORE_009,SKU_0577,2024-02-04,2024-02-05,1,10,389.7,Forecast miss
SO_0001705,STORE_002,SKU_0369,2024-02-05,2024-02-08,3,28,610.68,Supplier delay
SO_0002184,STORE_003,SKU_0181,2024-02-05,2024-02-13,8,160,2393.6,Shrinkage
SO_0002857,STORE_003,SKU_0455,2024-02-05,2024-02-08,3,30,1120.5,Forecast miss
SO_0007412,STORE_010,SKU_0228,2024-02-05,2024-02-08,3,14,422.52,Supplier delay
SO_0000293,STORE_001,SKU_0238,2024-02-06,2024-02-12,6,35,1159.9,Supplier delay
SO_0001239,STORE_002,SKU_0059,2024-02-06,2024-02-11,5,49,103.39,Forecast miss
SO_0003952,STORE_005,SKU_0344,2024-02-06,2024-02-08,2,10,35.3,Forecast miss
SO_0003994,STORE_005,SKU_0573,2024-02-06,2024-02-09,3,7,288.96,Demand spike
SO_0004153,STORE_006,SKU_0071,2024-02-06,2024-02-09,3,6,125.04,Forecast miss
SO_0004346,STORE_006,SKU_0088,2024-02-06,2024-02-07,1,1,46.87,Demand spike
SO_0004586,STORE_006,SKU_0270,2024-02-06,2024-02-08,2,20,919.4,Manual error
SO_0005992,STORE_007,SKU_0468,2024-02-06,2024-02-12,6,141,5803.56,Manual error
SO_0007692,STORE_010,SKU_0417,2024-02-06,2024-02-07,1,0,0.0,Demand spike
SO_0001442,STORE_002,SKU_0207,2024-02-07,2024-02-10,3,7,76.37,Supplier delay
SO_0002889,STORE_003,SKU_0474,2024-02-07,2024-02-10,3,61,1409.71,Forecast miss
SO_0006317,STORE_008,SKU_0030,2024-02-07,2024-02-08,1,5,35.8,Demand spike
SO_0000121,STORE_001,SKU_0135,2024-02-08,2024-02-09,1,15,492.45,Forecast miss
SO_0000980,STORE_001,SKU_0556,2024-02-08,2024-02-10,2,18,389.16,Shrinkage
SO_0002035,STORE_003,SKU_0008,2024-02-08,2024-02-14,6,107,2515.57,Supplier delay
SO_0002456,STORE_003,SKU_0282,2024-02-08,2024-02-10,2,32,671.36,Supplier delay
SO_0002630,STORE_003,SKU_0345,2024-02-08,2024-02-14,6,133,4849.18,Forecast miss
SO_0002725,STORE_003,SKU_0351,2024-02-08,2024-02-13,5,59,2187.72,Demand spike
SO_0003045,STORE_003,SKU_0550,2024-02-08,2024-02-12,4,41,874.53,Shrinkage
SO_0003232,STORE_004,SKU_0207,2024-02-08,2024-02-12,4,27,294.57,Supplier delay
SO_0006339,STORE_008,SKU_0118,2024-02-08,2024-02-17,9,50,224.0,Demand spike
SO_0001139,STORE_002,SKU_0032,2024-02-09,2024-02-12,3,54,1615.14,Shrinkage
SO_0001665,STORE_002,SKU_0368,2024-02-09,2024-02-10,1,7,215.81,Supplier delay
SO_0004509,STORE_006,SKU_0203,2024-02-09,2024-02-13,4,98,2190.3,Manual error
SO_0004989,STORE_006,SKU_0564,2024-02-09,2024-02-11,2,5,216.6,Shrinkage
SO_0005095,STORE_007,SKU_0031,2024-02-09,2024-02-10,1,1,47.29,Demand spike
SO_0005424,STORE_007,SKU_0244,2024-02-09,2024-02-17,8,120,328.8,Shrinkage
SO_0005628,STORE_007,SKU_0345,2024-02-09,2024-02-16,7,76,2770.96,Forecast miss
SO_0006644,STORE_008,SKU_0355,2024-02-09,2024-02-10,1,0,0.0,Shrinkage
SO_0000816,STORE_001,SKU_0518,2024-02-10,2024-02-11,1,1,7.48,Demand spike
SO_0001630,STORE_002,SKU_0335,2024-02-10,2024-02-11,1,4,155.52,Forecast miss
SO_0002285,STORE_003,SKU_0229,2024-02-10,2024-02-19,9,84,1632.96,Manual error
SO_0002969,STORE_003,SKU_0535,2024-02-10,2024-02-11,1,6,283.8,Shrinkage
SO_0004154,STORE_006,SKU_0071,2024-02-10,2024-02-12,2,0,0.0,Forecast miss
SO_0004347,STORE_006,SKU_0088,2024-02-10,2024-02-11,1,1,46.87,Manual error
SO_0004719,STORE_006,SKU_0384,2024-02-10,2024-02-16,6,98,4452.14,Supplier delay
SO_0004872,STORE_006,SKU_0501,2024-02-10,2024-02-19,9,70,2285.5,Shrinkage
SO_0005777,STORE_007,SKU_0364,2024-02-10,2024-02-12,2,11,518.32,Demand spike
SO_0006107,STORE_007,SKU_0519,2024-02-10,2024-02-13,3,28,707.84,Supplier delay
SO_0007029,STORE_009,SKU_0285,2024-02-10,2024-02-11,1,3,61.8,Shrinkage
SO_0007205,STORE_009,SKU_0443,2024-02-10,2024-02-17,7,112,1208.48,Supplier delay
SO_0007413,STORE_010,SKU_0228,2024-02-10,2024-02-11,1,1,30.18,Forecast miss
SO_0000004,STORE_001,SKU_0041,2024-02-11,2024-02-15,4,68,2563.6,Manual error
SO_0000629,STORE_001,SKU_0434,2024-02-11,2024-02-17,6,110,341.0,Forecast miss
SO_0000921,STORE_001,SKU_0523,2024-02-11,2024-02-15,4,37,535.76,Supplier delay
SO_0001443,STORE_002,SKU_0207,2024-02-11,2024-02-15,4,63,687.33,Supplier delay
SO_0001552,STORE_002,SKU_0298,2024-02-11,2024-02-20,9,254,9479.28,Supplier delay
SO_0001943,STORE_002,SKU_0564,2024-02-11,2024-02-12,1,1,43.32,Manual error
SO_0002348,STORE_003,SKU_0241,2024-02-11,2024-02-13,2,40,1436.4,Supplier delay
SO_0003074,STORE_003,SKU_0556,2024-02-11,2024-02-12,1,1,21.62,Shrinkage
SO_0003225,STORE_004,SKU_0195,2024-02-11,2024-02-15,4,84,2258.76,Demand spike
SO_0003447,STORE_004,SKU_0315,2024-02-11,2024-02-19,8,151,5292.55,Shrinkage
SO_0004268,STORE_006,SKU_0087,2024-02-11,2024-02-12,1,3,90.36,Manual error
SO_0004686,STORE_006,SKU_0353,2024-02-11,2024-02-18,7,139,3645.97,Forecast miss
SO_0005280,STORE_007,SKU_0156,2024-02-11,2024-02-15,4,71,3128.97,Supplier delay
SO_0005506,STORE_007,SKU_0279,2024-02-11,2024-02-12,1,0,0.0,Supplier delay
SO_0006645,STORE_008,SKU_0355,2024-02-11,2024-02-12,1,1,8.93,Demand spike
SO_0007307,STORE_009,SKU_0537,2024-02-11,2024-02-18,7,82,1814.66,Forecast miss
SO_0007603,STORE_010,SKU_0360,2024-02-11,2024-02-12,1,4,29.0,Demand spike
SO_0007693,STORE_010,SKU_0417,2024-02-11,2024-02-12,1,1,10.8,Forecast miss
SO_0000034,STORE_001,SKU_0050,2024-02-12,2024-02-13,1,13,649.09,Manual error
SO_0000168,STORE_001,SKU_0197,2024-02-12,2024-02-15,3,49,1464.12,Supplier delay
SO_0003791,STORE_004,SKU_0558,2024-02-12,2024-02-14,2,21,230.79,Forecast miss
SO_0004774,STORE_006,SKU_0401,2024-02-12,2024-02-21,9,108,2273.4,Forecast miss
SO_0000956,STORE_001,SKU_0534,2024-02-13,2024-02-20,7,119,965.09,Supplier delay
SO_0003411,STORE_004,SKU_0292,2024-02-13,2024-02-22,9,218,10605.7,Demand spike
SO_0003981,STORE_005,SKU_0378,2024-02-13,2024-02-14,1,0,0.0,Demand spike
SO_0004155,STORE_006,SKU_0071,2024-02-13,2024-02-20,7,62,1292.08,Shrinkage
SO_0004560,STORE_006,SKU_0267,2024-02-13,2024-02-24,11,253,399.74,Forecast miss
SO_0006212,STORE_007,SKU_0542,2024-02-13,2024-02-19,6,40,1043.2,Forecast miss
SO_0006362,STORE_008,SKU_0146,2024-02-13,2024-02-21,8,14,308.28,Shrinkage
SO_0000599,STORE_001,SKU_0430,2024-02-14,2024-02-18,4,54,738.18,Demand spike
SO_0001259,STORE_002,SKU_0063,2024-02-14,2024-02-16,2,20,986.6,Supplier delay
SO_0001294,STORE_002,SKU_0086,2024-02-14,2024-02-21,7,169,557.7,Shrinkage
SO_0001791,STORE_002,SKU_0468,2024-02-14,2024-02-15,1,1,41.16,Manual error
SO_0002082,STORE_003,SKU_0018,2024-02-14,2024-02-15,1,3,103.14,Shrinkage
SO_0002497,STORE_003,SKU_0305,2024-02-14,2024-02-15,1,1,32.0,Manual error
SO_0003233,STORE_004,SKU_0207,2024-02-14,2024-02-15,1,1,10.91,Forecast miss
SO_0003487,STORE_004,SKU_0332,2024-02-14,2024-02-15,1,0,0.0,Shrinkage
SO_0003668,STORE_004,SKU_0513,2024-02-14,2024-02-19,5,72,1427.76,Demand spike
