replenishment_id,store_id,sku_id,replenishment_date,trigger_type,units_ordered,units_received,order_date,receive_date,lead_time_actual,replenishment_cost,associate_id
REP_0025310,STORE_008,SKU_0284,2024-01-02,Reorder Point,88,80,2024-01-01,2024-01-02,1,1234.4,
REP_0025727,STORE_008,SKU_0383,2024-01-02,Reorder Point,334,327,2024-01-01,2024-01-02,1,2413.26,
REP_0026019,STORE_008,SKU_0470,2024-01-02,Reorder Point,246,241,2024-01-01,2024-01-02,1,3935.53,
REP_0026103,STORE_008,SKU_0503,2024-01-02,Reorder Point,310,272,2024-01-01,2024-01-02,1,1501.44,
REP_0027060,STORE_009,SKU_0072,2024-01-02,Reorder Point,756,750,2024-01-01,2024-01-02,1,7845.0,
REP_0027284,STORE_009,SKU_0120,2024-01-02,Reorder Point,676,636,2024-01-01,2024-01-02,1,17649.0,
REP_0027538,STORE_009,SKU_0157,2024-01-02,Reorder Point,248,240,2024-01-01,2024-01-02,1,369.6,
REP_0027724,STORE_009,SKU_0175,2024-01-02,Reorder Point,592,557,2024-01-01,2024-01-02,1,11546.61,
REP_0027729,STORE_009,SKU_0186,2024-01-02,Reorder Point,630,543,2024-01-01,2024-01-02,1,11603.91,
REP_0027796,STORE_009,SKU_0198,2024-01-02,Reorder Point,80,75,2024-01-01,2024-01-02,1,1007.25,
REP_0028170,STORE_009,SKU_0273,2024-01-02,Reorder Point,612,588,2024-01-01,2024-01-02,1,3827.88,
REP_0028770,STORE_009,SKU_0410,2024-01-02,Reorder Point,368,313,2024-01-01,2024-01-02,1,7111.36,
REP_0029090,STORE_009,SKU_0511,2024-01-02,Reorder Point,232,207,2024-01-01,2024-01-02,1,3966.12,
REP_0029916,STORE_010,SKU_0184,2024-01-02,Reorder Point,438,386,2024-01-01,2024-01-02,1,1895.26,
REP_0030301,STORE_010,SKU_0299,2024-01-02,Reorder Point,748,700,2024-01-01,2024-01-02,1,4851.0,
REP_0030940,STORE_010,SKU_0419,2024-01-02,Reorder Point,186,171,2024-01-01,2024-01-02,1,812.25,
REP_0031094,STORE_010,SKU_0472,2024-01-02,Reorder Point,452,429,2024-01-01,2024-01-02,1,780.78,
REP_0000648,STORE_001,SKU_0075,2024-01-03,Reorder Point,590,512,2024-01-01,2024-01-03,2,6763.52,
REP_0001052,STORE_001,SKU_0192,2024-01-03,Reorder Point,572,567,2024-01-01,2024-01-03,2,10206.0,
REP_0001338,STORE_001,SKU_0215,2024-01-03,Reorder Point,148,135,2024-01-01,2024-01-03,2,2797.2,
REP_0001534,STORE_001,SKU_0248,2024-01-03,Reorder Point,338,334,2024-01-01,2024-01-03,2,3757.5,
REP_0001720,STORE_001,SKU_0265,2024-01-03,Reorder Point,546,534,2024-01-01,2024-01-03,2,10311.54,
REP_0005233,STORE_002,SKU_0166,2024-01-03,Reorder Point,296,255,2024-01-01,2024-01-03,2,2873.85,
REP_0005685,STORE_002,SKU_0168,2024-01-03,Reorder Point,148,146,2024-01-01,2024-01-03,2,2407.54,
REP_0006159,STORE_002,SKU_0275,2024-01-03,Reorder Point,322,319,2024-01-01,2024-01-03,2,2315.94,
REP_0008232,STORE_003,SKU_0162,2024-01-03,Reorder Point,536,527,2024-01-01,2024-01-03,2,5960.37,
REP_0008407,STORE_003,SKU_0169,2024-01-03,Reorder Point,498,484,2024-01-01,2024-01-03,2,6553.36,
REP_0009456,STORE_003,SKU_0333,2024-01-03,Reorder Point,434,374,2024-01-01,2024-01-03,2,1993.42,
REP_0010024,STORE_003,SKU_0415,2024-01-03,Reorder Point,914,821,2024-01-01,2024-01-03,2,19400.23,
REP_0010250,STORE_003,SKU_0496,2024-01-03,Reorder Point,326,306,2024-01-01,2024-01-03,2,7347.06,
REP_0010570,STORE_003,SKU_0525,2024-01-03,Reorder Point,706,630,2024-01-01,2024-01-03,2,3698.1,
REP_0010921,STORE_003,SKU_0571,2024-01-03,Reorder Point,734,730,2024-01-01,2024-01-03,2,17388.6,
REP_0012444,STORE_004,SKU_0283,2024-01-03,Reorder Point,188,170,2024-01-01,2024-01-03,2,2065.5,
REP_0013162,STORE_004,SKU_0371,2024-01-03,Reorder Point,158,157,2024-01-01,2024-01-03,2,4479.21,
REP_0014572,STORE_005,SKU_0012,2024-01-03,Reorder Point,174,166,2024-01-01,2024-01-03,2,2458.46,
REP_0014708,STORE_005,SKU_0048,2024-01-03,Reorder Point,362,318,2024-01-01,2024-01-03,2,2489.94,
REP_0015318,STORE_005,SKU_0185,2024-01-03,Reorder Point,226,209,2024-01-01,2024-01-03,2,6723.53,
REP_0015322,STORE_005,SKU_0186,2024-01-03,Reorder Point,630,544,2024-01-01,2024-01-03,2,11625.28,
REP_0015583,STORE_005,SKU_0262,2024-01-03,Reorder Point,66,64,2024-01-01,2024-01-03,2,273.92,
REP_0015714,STORE_005,SKU_0295,2024-01-03,Reorder Point,514,469,2024-01-01,2024-01-03,2,6655.11,
REP_0015925,STORE_005,SKU_0354,2024-01-03,Reorder Point,210,190,2024-01-01,2024-01-03,2,1449.7,
REP_0016967,STORE_006,SKU_0046,2024-01-03,Reorder Point,690,688,2024-01-01,2024-01-03,2,9721.44,
REP_0017156,STORE_006,SKU_0065,2024-01-03,Reorder Point,516,511,2024-01-01,2024-01-03,2,3152.87,
REP_0018525,STORE_006,SKU_0253,2024-01-03,Reorder Point,162,159,2024-01-01,2024-01-03,2,127.2,
REP_0019415,STORE_006,SKU_0436,2024-01-03,Reorder Point,324,318,2024-01-01,2024-01-03,2,1160.7,
REP_0020018,STORE_006,SKU_0494,2024-01-03,Reorder Point,378,343,2024-01-01,2024-01-03,2,6297.48,
REP_0020297,STORE_006,SKU_0543,2024-01-03,Reorder Point,766,730,2024-01-01,2024-01-03,2,21483.9,
REP_0021860,STORE_007,SKU_0205,2024-01-03,Reorder Point,270,247,2024-01-01,2024-01-03,2,424.84,
REP_0021921,STORE_007,SKU_0209,2024-01-03,Reorder Point,214,201,2024-01-01,2024-01-03,2,3414.99,
REP_0022512,STORE_007,SKU_0302,2024-01-03,Reorder Point,170,150,2024-01-01,2024-01-03,2,96.0,
REP_0022985,STORE_007,SKU_0408,2024-01-03,Reorder Point,286,271,2024-01-01,2024-01-03,2,322.49,
REP_0024192,STORE_008,SKU_0017,2024-01-03,Reorder Point,714,664,2024-01-01,2024-01-03,2,13645.2,
REP_0024312,STORE_008,SKU_0102,2024-01-03,Reorder Point,182,166,2024-01-01,2024-01-03,2,234.06,
REP_0024356,STORE_008,SKU_0107,2024-01-03,Reorder Point,68,61,2024-01-01,2024-01-03,2,1399.34,
REP_0024455,STORE_008,SKU_0143,2024-01-03,Reorder Point,594,562,2024-01-01,2024-01-03,2,5901.0,
REP_0025586,STORE_008,SKU_0352,2024-01-03,Reorder Point,318,300,2024-01-01,2024-01-03,2,4047.0,
REP_0025648,STORE_008,SKU_0380,2024-01-03,Reorder Point,274,233,2024-01-01,2024-01-03,2,4713.59,
REP_0025874,STORE_008,SKU_0453,2024-01-03,Reorder Point,116,102,2024-01-01,2024-01-03,2,2159.34,
REP_0025970,STORE_008,SKU_0460,2024-01-03,Reorder Point,216,190,2024-01-01,2024-01-03,2,4514.4,
REP_0027445,STORE_009,SKU_0152,2024-01-03,Reorder Point,192,164,2024-01-01,2024-01-03,2,1243.12,
REP_0027550,STORE_009,SKU_0158,2024-01-03,Reorder Point,586,564,2024-01-01,2024-01-03,2,5076.0,
REP_0027718,STORE_009,SKU_0166,2024-01-03,Reorder Point,296,294,2024-01-01,2024-01-03,2,3313.38,
REP_0029776,STORE_010,SKU_0131,2024-01-03,Reorder Point,76,68,2024-01-01,2024-01-03,2,263.84,
REP_0029864,STORE_010,SKU_0145,2024-01-03,Reorder Point,470,456,2024-01-01,2024-01-03,2,9484.8,
REP_0029982,STORE_010,SKU_0208,2024-01-03,Reorder Point,302,266,2024-01-01,2024-01-03,2,404.32,
REP_0030145,STORE_010,SKU_0231,2024-01-03,Reorder Point,60,51,2024-01-01,2024-01-03,2,218.79,
REP_0030927,STORE_010,SKU_0418,2024-01-03,Reorder Point,326,312,2024-01-01,2024-01-03,2,8530.08,
REP_0030950,STORE_010,SKU_0446,2024-01-03,Reorder Point,598,540,2024-01-01,2024-01-03,2,10227.6,
REP_0031202,STORE_010,SKU_0539,2024-01-03,Reorder Point,80,69,2024-01-01,2024-01-03,2,950.82,
REP_0000174,STORE_001,SKU_0047,2024-01-04,Reorder Point,532,504,2024-01-01,2024-01-04,3,9107.28,
REP_0000218,STORE_001,SKU_0048,2024-01-04,Reorder Point,362,318,2024-01-01,2024-01-04,3,2489.94,
REP_0001362,STORE_001,SKU_0220,2024-01-04,Reorder Point,386,356,2024-01-01,2024-01-04,3,3396.24,
REP_0001736,STORE_001,SKU_0267,2024-01-04,Reorder Point,124,116,2024-01-01,2024-01-04,3,127.6,
REP_0002162,STORE_001,SKU_0320,2024-01-04,Reorder Point,238,212,2024-01-01,2024-01-04,3,3158.8,
REP_0002558,STORE_001,SKU_0388,2024-01-04,Reorder Point,402,367,2024-01-01,2024-01-04,3,1886.38,
REP_0002829,STORE_001,SKU_0411,2024-01-04,Reorder Point,208,199,2024-01-01,2024-01-04,3,3454.64,
REP_0003640,STORE_001,SKU_0469,2024-01-04,Reorder Point,686,589,2024-01-01,2024-01-04,3,9094.16,
REP_0003732,STORE_001,SKU_0507,2024-01-04,Reorder Point,406,397,2024-01-01,2024-01-04,3,5871.63,
REP_0004166,STORE_002,SKU_0011,2024-01-04,Reorder Point,434,388,2024-01-01,2024-01-04,3,4299.04,
REP_0004758,STORE_002,SKU_0061,2024-01-04,Reorder Point,478,475,2024-01-01,2024-01-04,3,8127.25,
REP_0004853,STORE_002,SKU_0095,2024-01-04,Reorder Point,248,238,2024-01-01,2024-01-04,3,2679.88,
REP_0006334,STORE_002,SKU_0311,2024-01-04,Reorder Point,296,255,2024-01-01,2024-01-04,3,4462.5,
REP_0006340,STORE_002,SKU_0325,2024-01-04,Reorder Point,778,723,2024-01-01,2024-01-04,3,16896.51,
REP_0007225,STORE_002,SKU_0489,2024-01-04,Reorder Point,16,15,2024-01-01,2024-01-04,3,372.9,
REP_0007370,STORE_002,SKU_0530,2024-01-04,Reorder Point,140,136,2024-01-01,2024-01-04,3,1566.72,
REP_0008180,STORE_003,SKU_0151,2024-01-04,Reorder Point,210,198,2024-01-01,2024-01-04,3,2009.7,
REP_0010183,STORE_003,SKU_0480,2024-01-04,Reorder Point,88,81,2024-01-01,2024-01-04,3,817.29,
REP_0010723,STORE_003,SKU_0543,2024-01-04,Reorder Point,766,757,2024-01-01,2024-01-04,3,22278.51,
REP_0011350,STORE_004,SKU_0096,2024-01-04,Reorder Point,296,262,2024-01-01,2024-01-04,3,5779.72,
REP_0011691,STORE_004,SKU_0112,2024-01-04,Reorder Point,632,555,2024-01-01,2024-01-04,3,222.0,
REP_0012065,STORE_004,SKU_0202,2024-01-04,Reorder Point,226,205,2024-01-01,2024-01-04,3,67.65,
REP_0012190,STORE_004,SKU_0219,2024-01-04,Reorder Point,690,668,2024-01-01,2024-01-04,3,14829.6,
REP_0012328,STORE_004,SKU_0261,2024-01-04,Reorder Point,478,456,2024-01-01,2024-01-04,3,5262.24,
REP_0014145,STORE_004,SKU_0559,2024-01-04,Reorder Point,214,211,2024-01-01,2024-01-04,3,1449.57,
REP_0014446,STORE_004,SKU_0568,2024-01-04,Reorder Point,234,213,2024-01-01,2024-01-04,3,1205.58,
REP_0016020,STORE_005,SKU_0374,2024-01-04,Reorder Point,140,128,2024-01-01,2024-01-04,3,1689.6,
REP_0016354,STORE_005,SKU_0464,2024-01-04,Reorder Point,120,109,2024-01-01,2024-01-04,3,2702.11,
REP_0016731,STORE_006,SKU_0020,2024-01-04,Reorder Point,196,167,2024-01-01,2024-01-04,3,3543.74,
REP_0017131,STORE_006,SKU_0053,2024-01-04,Reorder Point,42,38,2024-01-01,2024-01-04,3,236.36,
REP_0017538,STORE_006,SKU_0120,2024-01-04,Reorder Point,676,635,2024-01-01,2024-01-04,3,17621.25,
REP_0017698,STORE_006,SKU_0177,2024-01-04,Reorder Point,232,231,2024-01-01,2024-01-04,3,2524.83,
REP_0017829,STORE_006,SKU_0187,2024-01-04,Reorder Point,76,74,2024-01-01,2024-01-04,3,2415.36,
REP_0018925,STORE_006,SKU_0324,2024-01-04,Reorder Point,370,348,2024-01-01,2024-01-04,3,7092.24,
REP_0020524,STORE_007,SKU_0025,2024-01-04,Reorder Point,644,579,2024-01-01,2024-01-04,3,1794.9,
REP_0020770,STORE_007,SKU_0078,2024-01-04,Reorder Point,78,68,2024-01-01,2024-01-04,3,1007.08,
REP_0020989,STORE_007,SKU_0126,2024-01-04,Reorder Point,364,336,2024-01-01,2024-01-04,3,6904.8,
REP_0023047,STORE_007,SKU_0410,2024-01-04,Reorder Point,368,353,2024-01-01,2024-01-04,3,8020.16,
REP_0023679,STORE_007,SKU_0498,2024-01-04,Reorder Point,250,231,2024-01-01,2024-01-04,3,295.68,
REP_0025086,STORE_008,SKU_0246,2024-01-04,Reorder Point,382,358,2024-01-01,2024-01-04,3,11273.42,
REP_0025091,STORE_008,SKU_0247,2024-01-04,Reorder Point,122,114,2024-01-01,2024-01-04,3,577.98,
REP_0025403,STORE_008,SKU_0313,2024-01-04,Reorder Point,80,76,2024-01-01,2024-01-04,3,1342.16,
REP_0025560,STORE_008,SKU_0329,2024-01-04,Reorder Point,224,219,2024-01-01,2024-01-04,3,2150.58,
REP_0025958,STORE_008,SKU_0459,2024-01-04,Reorder Point,730,712,2024-01-01,2024-01-04,3,6002.16,
REP_0026245,STORE_008,SKU_0552,2024-01-04,Reorder Point,104,94,2024-01-02,2024-01-04,2,582.8,
REP_0026774,STORE_009,SKU_0028,2024-01-04,Reorder Point,338,304,2024-01-01,2024-01-04,3,428.64,
REP_0028334,STORE_009,SKU_0295,2024-01-04,Reorder Point,514,452,2024-01-01,2024-01-04,3,6413.88,
REP_0028417,STORE_009,SKU_0313,2024-01-04,Reorder Point,80,74,2024-01-03,2024-01-04,1,1306.84,
REP_0029526,STORE_010,SKU_0004,2024-01-04,Reorder Point,490,420,2024-01-01,2024-01-04,3,2784.6,
REP_0030330,STORE_010,SKU_0303,2024-01-04,Reorder Point,332,299,2024-01-01,2024-01-04,3,2338.18,
REP_0030612,STORE_010,SKU_0377,2024-01-04,Reorder Point,460,418,2024-01-01,2024-01-04,3,6671.28,
REP_0031187,STORE_010,SKU_0538,2024-01-04,Reorder Point,240,213,2024-01-01,2024-01-04,3,4392.06,
REP_0001517,STORE_001,SKU_0246,2024-01-05,Reorder Point,382,357,2024-01-01,2024-01-05,4,11241.93,
REP_0001709,STORE_001,SKU_0263,2024-01-05,Reorder Point,496,451,2024-01-01,2024-01-05,4,8821.56,
REP_0001787,STORE_001,SKU_0280,2024-01-05,Reorder Point,232,206,2024-01-01,2024-01-05,4,2853.1,
REP_0002518,STORE_001,SKU_0367,2024-01-05,Reorder Point,324,286,2024-01-01,2024-01-05,4,3554.98,
REP_0003098,STORE_001,SKU_0442,2024-01-05,Reorder Point,198,183,2024-01-01,2024-01-05,4,4682.97,
REP_0003912,STORE_001,SKU_0551,2024-01-05,Reorder Point,96,89,2024-01-01,2024-01-05,4,2595.24,
REP_0006024,STORE_002,SKU_0259,2024-01-05,Reorder Point,528,525,2024-01-01,2024-01-05,4,8505.0,
REP_0006214,STORE_002,SKU_0281,2024-01-05,Reorder Point,134,127,2024-01-01,2024-01-05,4,1355.09,
REP_0007085,STORE_002,SKU_0451,2024-01-05,Reorder Point,612,525,2024-01-01,2024-01-05,4,8788.5,
REP_0009353,STORE_003,SKU_0315,2024-01-05,Reorder Point,80,72,2024-01-01,2024-01-05,4,1201.68,
REP_0009790,STORE_003,SKU_0374,2024-01-05,Reorder Point,140,132,2024-01-01,2024-01-05,4,1742.4,
REP_0009986,STORE_003,SKU_0414,2024-01-05,Reorder Point,278,268,2024-01-01,2024-01-05,4,3939.6,
REP_0010199,STORE_003,SKU_0482,2024-01-05,Reorder Point,140,129,2024-01-01,2024-01-05,4,2293.62,
REP_0010594,STORE_003,SKU_0528,2024-01-05,Reorder Point,368,340,2024-01-01,2024-01-05,4,1026.8,
REP_0010918,STORE_003,SKU_0570,2024-01-05,Reorder Point,706,670,2024-01-01,2024-01-05,4,11885.8,
REP_0011440,STORE_004,SKU_0105,2024-01-05,Reorder Point,230,200,2024-01-03,2024-01-05,2,3408.0,
REP_0011918,STORE_004,SKU_0173,2024-01-05,Reorder Point,164,147,2024-01-01,2024-01-05,4,1112.79,
REP_0013052,STORE_004,SKU_0340,2024-01-05,Reorder Point,184,176,2024-01-01,2024-01-05,4,2052.16,
REP_0013212,STORE_004,SKU_0388,2024-01-05,Reorder Point,402,377,2024-01-01,2024-01-05,4,1937.78,
REP_0014506,STORE_004,SKU_0576,2024-01-05,Reorder Point,82,72,2024-01-01,2024-01-05,4,216.0,
REP_0014701,STORE_005,SKU_0040,2024-01-05,Reorder Point,568,537,2024-01-01,2024-01-05,4,7115.25,
REP_0014801,STORE_005,SKU_0080,2024-01-05,Reorder Point,352,332,2024-01-01,2024-01-05,4,753.64,
REP_0014874,STORE_005,SKU_0094,2024-01-05,Reorder Point,236,231,2024-01-01,2024-01-05,4,824.67,
REP_0014899,STORE_005,SKU_0114,2024-01-05,Reorder Point,418,404,2024-01-01,2024-01-05,4,8609.24,
REP_0015173,STORE_005,SKU_0147,2024-01-05,Reorder Point,112,98,2024-01-01,2024-01-05,4,490.0,
REP_0015264,STORE_005,SKU_0180,2024-01-05,Reorder Point,470,456,2024-01-01,2024-01-05,4,332.88,
REP_0015412,STORE_005,SKU_0229,2024-01-05,Reorder Point,86,81,2024-01-01,2024-01-05,4,1023.03,
REP_0015812,STORE_005,SKU_0338,2024-01-05,Reorder Point,180,170,2024-01-01,2024-01-05,4,2533.0,
REP_0015905,STORE_005,SKU_0349,2024-01-05,Reorder Point,196,179,2024-01-01,2024-01-05,4,2613.4,
REP_0016178,STORE_005,SKU_0407,2024-01-05,Reorder Point,60,51,2024-01-01,2024-01-05,4,410.04,
REP_0016210,STORE_005,SKU_0413,2024-01-05,Reorder Point,22,21,2024-01-03,2024-01-05,2,421.47,
REP_0016426,STORE_005,SKU_0520,2024-01-05,Reorder Point,244,242,2024-01-01,2024-01-05,4,2698.3,
REP_0016572,STORE_005,SKU_0541,2024-01-05,Reorder Point,96,86,2024-01-01,2024-01-05,4,1338.16,
REP_0016700,STORE_005,SKU_0574,2024-01-05,Reorder Point,104,90,2024-01-01,2024-01-05,4,2628.0,
REP_0018092,STORE_006,SKU_0210,2024-01-05,Reorder Point,294,269,2024-01-03,2024-01-05,2,1159.39,
REP_0018875,STORE_006,SKU_0321,2024-01-05,Reorder Point,328,312,2024-01-01,2024-01-05,4,1301.04,
REP_0020964,STORE_007,SKU_0122,2024-01-05,Reorder Point,178,175,2024-01-01,2024-01-05,4,1912.75,
REP_0023450,STORE_007,SKU_0445,2024-01-05,Reorder Point,346,301,2024-01-01,2024-01-05,4,6016.99,
REP_0023556,STORE_007,SKU_0477,2024-01-05,Reorder Point,130,124,2024-01-01,2024-01-05,4,2749.08,
REP_0023676,STORE_007,SKU_0492,2024-01-05,Reorder Point,488,468,2024-01-01,2024-01-05,4,3402.36,
REP_0024267,STORE_008,SKU_0057,2024-01-05,Reorder Point,144,126,2024-01-01,2024-01-05,4,124.74,
REP_0024285,STORE_008,SKU_0073,2024-01-05,Reorder Point,546,484,2024-01-01,2024-01-05,4,4748.04,
REP_0025775,STORE_008,SKU_0405,2024-01-05,Reorder Point,358,311,2024-01-01,2024-01-05,4,2715.03,
REP_0025801,STORE_008,SKU_0415,2024-01-05,Reorder Point,914,867,2024-01-01,2024-01-05,4,20487.21,
REP_0026689,STORE_009,SKU_0017,2024-01-05,Reorder Point,714,618,2024-01-01,2024-01-05,4,12699.9,
REP_0026713,STORE_009,SKU_0020,2024-01-05,Reorder Point,196,170,2024-01-01,2024-01-05,4,3607.4,
REP_0027422,STORE_009,SKU_0138,2024-01-05,Reorder Point,802,695,2024-01-01,2024-01-05,4,12711.55,
REP_0027610,STORE_009,SKU_0162,2024-01-05,Reorder Point,536,463,2024-01-01,2024-01-05,4,5236.53,
REP_0028343,STORE_009,SKU_0296,2024-01-05,Reorder Point,248,218,2024-01-01,2024-01-05,4,152.6,
REP_0029014,STORE_009,SKU_0491,2024-01-05,Reorder Point,136,131,2024-01-01,2024-01-05,4,643.21,
REP_0029914,STORE_010,SKU_0158,2024-01-05,Reorder Point,586,575,2024-01-01,2024-01-05,4,5175.0,
REP_0030239,STORE_010,SKU_0288,2024-01-05,Reorder Point,534,460,2024-01-01,2024-01-05,4,1320.2,
REP_0030364,STORE_010,SKU_0319,2024-01-05,Reorder Point,332,320,2024-01-01,2024-01-05,4,3110.4,
REP_0030964,STORE_010,SKU_0449,2024-01-05,Reorder Point,272,238,2024-01-01,2024-01-05,4,3643.78,
REP_0030982,STORE_010,SKU_0450,2024-01-05,Reorder Point,126,123,2024-01-01,2024-01-05,4,1426.8,
REP_0031289,STORE_010,SKU_0575,2024-01-05,Reorder Point,568,520,2024-01-01,2024-01-05,4,379.6,
REP_0001423,STORE_001,SKU_0224,2024-01-06,Reorder Point,248,233,2024-01-01,2024-01-06,5,3844.5,
REP_0001824,STORE_001,SKU_0283,2024-01-06,Reorder Point,188,171,2024-01-01,2024-01-06,5,2077.65,
REP_0006439,STORE_002,SKU_0332,2024-01-06,Reorder Point,32,28,2024-01-01,2024-01-06,5,267.12,
REP_0007137,STORE_002,SKU_0481,2024-01-06,Reorder Point,202,178,2024-01-01,2024-01-06,5,1929.52,
REP_0009731,STORE_003,SKU_0366,2024-01-06,Reorder Point,362,313,2024-01-01,2024-01-06,5,2435.14,
REP_0011307,STORE_004,SKU_0092,2024-01-06,Reorder Point,314,283,2024-01-01,2024-01-06,5,5623.21,
REP_0011976,STORE_004,SKU_0183,2024-01-06,Reorder Point,564,548,2024-01-01,2024-01-06,5,3304.44,
REP_0012474,STORE_004,SKU_0286,2024-01-06,Reorder Point,186,158,2024-01-01,2024-01-06,5,887.96,
REP_0013264,STORE_004,SKU_0390,2024-01-06,Reorder Point,416,369,2024-01-01,2024-01-06,5,11055.24,
REP_0014559,STORE_005,SKU_0009,2024-01-06,Reorder Point,574,564,2024-01-01,2024-01-06,5,12532.08,
REP_0014605,STORE_005,SKU_0018,2024-01-06,Reorder Point,38,36,2024-01-01,2024-01-06,5,580.32,
REP_0014649,STORE_005,SKU_0029,2024-01-06,Reorder Point,152,151,2024-01-01,2024-01-06,5,3417.13,
REP_0015253,STORE_005,SKU_0178,2024-01-06,Reorder Point,376,352,2024-01-01,2024-01-06,5,3432.0,
REP_0015338,STORE_005,SKU_0197,2024-01-06,Reorder Point,152,137,2024-01-01,2024-01-06,5,1470.01,
REP_0015441,STORE_005,SKU_0239,2024-01-06,Reorder Point,340,304,2024-01-01,2024-01-06,5,4265.12,
REP_0016167,STORE_005,SKU_0402,2024-01-06,Reorder Point,388,347,2024-01-01,2024-01-06,5,7037.16,
REP_0016349,STORE_005,SKU_0462,2024-01-06,Reorder Point,120,115,2024-01-01,2024-01-06,5,463.45,
REP_0017553,STORE_006,SKU_0136,2024-01-06,Reorder Point,444,425,2024-01-01,2024-01-06,5,7454.5,
REP_0017596,STORE_006,SKU_0142,2024-01-06,Reorder Point,248,223,2024-01-01,2024-01-06,5,778.27,
REP_0018033,STORE_006,SKU_0208,2024-01-06,Reorder Point,302,292,2024-01-01,2024-01-06,5,443.84,
REP_0018729,STORE_006,SKU_0272,2024-01-06,Reorder Point,184,167,2024-01-05,2024-01-06,1,2944.21,
REP_0019971,STORE_006,SKU_0487,2024-01-06,Reorder Point,334,291,2024-01-01,2024-01-06,5,5150.7,
REP_0020230,STORE_006,SKU_0536,2024-01-06,Reorder Point,344,321,2024-01-01,2024-01-06,5,6118.26,
REP_0023570,STORE_007,SKU_0483,2024-01-06,Reorder Point,368,347,2024-01-02,2024-01-06,4,1745.41,
REP_0024235,STORE_008,SKU_0039,2024-01-06,Reorder Point,648,565,2024-01-01,2024-01-06,5,2621.6,
REP_0024273,STORE_008,SKU_0060,2024-01-06,Reorder Point,622,574,2024-01-01,2024-01-06,5,7083.16,
REP_0025047,STORE_008,SKU_0242,2024-01-06,Reorder Point,129,114,2024-01-01,2024-01-06,5,1763.58,
